feature_1,feature_2,feature_3,feature_4,feature_5
-3.847,1.797,7.3505,-0.22689,-0.49605
-3.847,3.3306,3.5382,-0.22689,-0.48386
-3.6736,2.8986,4.9905,-0.15398,-0.58143
-3.5869,1.0409,5.3536,-0.32897,-0.53264
-2.8935,3.3306,2.3582,-0.24147,-0.52045
-2.6334,1.9698,3.2659,-0.28522,-0.47166
-2.5467,2.8338,7.3505,-0.28522,-0.52045
-2.2,1.8618,2.2674,-0.25606,-0.54484
-2.2,2.5098,0.72434,-0.25606,-0.58143
-1.8533,0.65213,0.72434,-0.40187,-0.48386
-1.8533,1.4298,2.7213,-0.2998,-0.49605
-1.8533,3.0714,3.2659,-0.2998,-0.49605
-1.7666,0.95454,1.9951,-0.34355,-0.48386
-1.7666,2.2074,4.8997,-0.25606,-0.53264
-1.7666,2.5746,4.7182,-0.31438,-0.52045
-1.7666,3.0066,3.1751,-0.34355,-0.49605
-1.6799,-0.38471,-0.27412,-0.21231,-0.37408
-1.5932,-0.40631,-0.18335,-0.11024,0.052813
-1.5065,0.26332,0.088954,-0.31438,-0.53264
-1.4199,-0.2119,-0.36489,-0.2998,-0.17893
-1.3332,-0.51432,-0.6372,-0.22689,0.028419
-1.3332,2.2938,-0.092585,-0.21231,-0.56923
-1.2465,0.26332,0.72434,-0.18315,-0.54484
-1.1598,-0.1039,-0.36489,-0.27064,-0.13014
-1.0731,-1.1191,-0.72797,-0.11024,1.0286
-1.0731,-0.44952,-0.54643,-0.24147,-0.39848
-1.0731,0.93294,1.5413,-0.19773,-0.47166
-1.0731,1.1274,-0.092585,-0.24147,-0.53264
-0.98645,-0.90313,-1.3634,-0.22689,-0.16673
-0.98645,-0.27671,-0.27412,-0.18315,0.22357
-0.98645,-0.1687,-0.45566,-0.1394,-0.54484
-0.98645,0.11211,-0.27412,-0.081075,-0.59363
-0.98645,1.473,2.1766,-0.16857,-0.48386
-0.89977,0.67373,1.0874,-0.34355,-0.52045
-0.89977,0.67373,1.5413,-0.31438,-0.52045
-0.89977,1.6458,-0.0018154,-0.21231,-0.47166
-0.81308,-0.81673,0.45203,-0.15398,-0.044763
-0.81308,-0.082299,0.5428,-0.22689,-0.53264
-0.81308,0.13371,0.45203,-0.28522,-0.27651
-0.81308,0.30652,0.5428,-0.31438,-0.54484
-0.7264,-0.77353,-0.36489,-0.28522,-0.15454
-0.7264,-0.68713,-0.54643,-0.27064,0.18698
-0.7264,-0.60072,-0.27412,-0.19773,-0.3131
-0.7264,-0.60072,0.27049,-0.2998,-0.23992
-0.7264,-0.44952,-0.6372,-0.27064,-0.3009
-0.63972,-0.98954,-0.45566,-0.22689,0.30895
-0.63972,-0.70873,-0.6372,-0.21231,-0.34969
-0.63972,-0.49272,-0.092585,-0.12482,-0.20332
-0.63972,-0.31991,-0.36489,-0.2998,-0.21552
-0.63972,-0.29831,-0.6372,-0.22689,-0.33749
-0.63972,-0.082299,-0.45566,-0.25606,-0.3131
-0.55304,-1.0327,-0.45566,-0.24147,0.1016
-0.55304,-0.55752,-0.81874,-0.31438,-0.44726
-0.55304,-0.38471,-0.45566,-0.34355,-0.044763
-0.55304,-0.29831,-0.092585,-0.1394,-0.37408
-0.55304,-0.082299,0.90588,-0.21231,-0.52045
-0.55304,0.047306,-0.54643,-0.31438,-0.49605
-0.55304,0.50093,-0.6372,-0.22689,-0.17893
-0.46635,-0.81673,-0.092585,-0.34355,-0.41067
-0.46635,-0.77353,0.088954,-0.24147,-0.020369
-0.46635,-0.060699,-0.72797,-0.22689,-0.41067
-0.37967,-0.90313,-0.81874,-0.28522,-0.39848
-0.37967,-0.81673,0.17972,-0.21231,0.34554
-0.37967,-0.62232,-0.36489,-0.022748,0.016222
-0.37967,-0.55752,-0.36489,-0.19773,-0.52045
-0.37967,-0.38471,0.088954,-0.1394,-0.56923
-0.37967,-0.25511,-0.36489,-0.25606,-0.32529
-0.37967,-0.082299,-0.092585,-0.18315,-0.069157
-0.37967,0.26332,-0.72797,-0.2998,-0.36189
-0.37967,0.26332,0.088954,-0.27064,-0.38628
-0.37967,0.45772,1.269,-0.25606,-0.50825
-0.37967,1.6242,-0.27412,-0.37271,-0.45946
-0.29299,-1.2271,-0.6372,-0.18315,-0.33749
-0.29299,-0.68713,-0.36489,-0.24147,-0.032566
-0.29299,-0.2119,-1.091,-0.27064,-0.22772
-0.29299,-0.1039,-0.36489,-0.2998,-0.44726
-0.29299,-0.1039,-0.18335,-0.28522,-0.13014
-0.29299,-0.1039,0.27049,-0.19773,-0.50825
-0.29299,-0.060699,0.45203,-0.27064,-0.34969
-0.29299,0.30652,-0.092585,-0.28522,-0.38628
-0.29299,0.76014,0.99665,-0.25606,-0.50825
-0.20631,-0.31991,-0.092585,-0.19773,-0.41067
-0.20631,0.047306,0.27049,-0.28522,-0.17893
-0.20631,0.67373,-0.72797,-0.28522,-0.13014
-0.20631,0.67373,-0.36489,-0.0081658,-0.3009
-0.20631,0.84654,-0.36489,-0.27064,-0.27651
-0.11962,-1.3784,-1.1818,-0.16857,-0.33749
-0.11962,-0.73033,-0.81874,-0.28522,-0.32529
-0.11962,-0.60072,-0.54643,-0.18315,-0.23992
-0.11962,-0.25511,-0.6372,-0.095657,-0.20332
-0.11962,0.11211,0.17972,-0.22689,-0.21552
-0.11962,0.22011,-0.6372,-0.1394,-0.38628
-0.032939,-0.98954,-0.27412,-0.21231,-0.32529
-0.032939,-0.49272,-0.54643,-0.095657,-0.27651
-0.032939,-0.31991,0.17972,-0.25606,-0.069157
-0.032939,-0.2119,-0.18335,-0.27064,-0.39848
-0.032939,-0.1471,-0.092585,-0.25606,0.028419
